sid,lat,long,easting,northing
101,-45.744456,166.594229,2011894,5476508
102,-45.7443289,166.5958545,2012019,5476532
103,-45.7440705,166.5978814,2012174,5476573
104,-45.7439105,166.5997297,2012316,5476602
105,-45.7434457,166.6011224,2012420,5476662
106,-45.7432619,166.6027026,2012541,5476692
107,-45.7428696,166.6042676,2012659,5476745
108,-45.7427313,166.6058556,2012781,5476770
109,-45.742663,166.6077322,2012926,5476789
201,-45.742531,166.6087782,2013006,5476810
202,-45.7432303,166.6096793,2013082,5476738
203,-45.7434574,166.6110202,2013188,5476721
204,-45.7440003,166.6121967,2013284,5476668
205,-45.7448043,166.6128671,2013343,5476583
206,-45.7457793,166.6128739,2013352,5476475
207,-45.7461905,166.6141168,2013452,5476437
208,-45.7465037,166.6153836,2013553,5476410
209,-45.747453,166.6152515,2013551,5476304
210,-45.7483811,166.6152249,2013557,5476201
301,-45.7417181,166.6087662,2012998,5476900
302,-45.7417548,166.6100896,2013101,5476904
303,-45.741456,166.6113863,2013199,5476945
304,-45.7408215,166.6123209,2013266,5477021
305,-45.7404736,166.6135456,2013358,5477067
306,-45.7401887,166.6149309,2013463,5477107
307,-45.7400078,166.61624,2013563,5477135
308,-45.7394792,166.6174591,2013653,5477201
309,-45.7394336,166.618766,2013754,5477214
310,-45.7394804,166.620114,2013859,5477217
311,-45.7391947,166.6214863,2013963,5477257
312,-45.7385914,166.6226622,2014049,5477331
313,-45.738385,166.6239999,2014151,5477362
314,-45.7384139,166.6253499,2014256,5477367
315,-45.7382335,166.6265042,2014344,5477394
316,-45.738134,166.627817,2014445,5477413
317,-45.7377796,166.6289263,2014528,5477459
318,-45.7375628,166.6302394,2014628,5477491
319,-45.7377462,166.6316107,2014736,5477479
320,-45.7375099,166.6329001,2014834,5477513
321,-45.7371991,166.6341463,2014928,5477555
322,-45.7368296,166.6353088,2015015,5477603
323,-45.7366016,166.6365843,2015112,5477636
324,-45.7364854,166.6379247,2015215,5477657
325,-45.7362788,166.6392623,2015317,5477688
326,-45.7359403,166.6404985,2015410,5477733
327,-45.7362532,166.6417653,2015511,5477706
328,-45.7370687,166.6424862,2015574,5477620
329,-45.7380707,166.6424905,2015583,5477509
401,-45.7005457,166.5748554,2010007,5481255
402,-45.701541,166.5750653,2010032,5481146
403,-45.7022734,166.5757427,2010091,5481069
404,-45.7032593,166.5761083,2010128,5480962
405,-45.7041831,166.5764937,2010166,5480862
406,-45.7049728,166.5772292,2010230,5480779
407,-45.7057727,166.5778218,2010283,5480694
408,-45.7065954,166.578502,2010343,5480607
409,-45.7075901,166.5786992,2010367,5480498
410,-45.7085188,166.5791743,2010412,5480398
411,-45.7092967,166.5798597,2010472,5480316
412,-45.7097337,166.5810729,2010570,5480275
413,-45.7106169,166.5815404,2010614,5480180
414,-45.7114342,166.5822857,2010679,5480094
415,-45.7122829,166.5827828,2010725,5480003
416,-45.7130953,166.5834386,2010783,5479917
417,-45.7140106,166.5836706,2010809,5479817
418,-45.7149034,166.5841499,2010854,5479721
419,-45.7158262,166.5848448,2010916,5479623
420,-45.7162722,166.5860573,2011014,5479581
421,-45.7166447,166.5870847,2011097,5479546
422,-45.7172743,166.5878642,2011163,5479481
423,-45.7181725,166.5887682,2011241,5479387
424,-45.7189409,166.5896094,2011313,5479307
425,-45.7198701,166.5899301,2011346,5479206
426,-45.720636,166.5899085,2011351,5479121
427,-45.7213349,166.5903067,2011388,5479046
428,-45.7221023,166.5909677,2011446,5478965
429,-45.7229017,166.5912258,2011473,5478878
430,-45.7236071,166.5919067,2011532,5478804
431,-45.7245473,166.5927545,2011606,5478705
432,-45.7255324,166.5931077,2011642,5478598
433,-45.7263385,166.5938161,2011704,5478513
434,-45.7269982,166.594979,2011800,5478447
435,-45.7275459,166.5959097,2011877,5478392
436,-45.7280156,166.5969007,2011958,5478346
437,-45.7289335,166.5970167,2011975,5478245
438,-45.7296191,166.5973392,2012006,5478171
439,-45.7298697,166.5986126,2012107,5478151
440,-45.730371,166.5988655,2012131,5478097
441,-45.7311542,166.5994864,2012186,5478014
442,-45.7314257,166.6009765,2012304,5477993
443,-45.7312649,166.6021544,2012394,5478018
444,-45.7308593,166.6034757,2012493,5478071
445,-45.7309479,166.6049219,2012606,5478070
446,-45.7315056,166.6057099,2012672,5478013
447,-45.7323726,166.6065405,2012744,5477922
448,-45.7335251,166.6066561,2012763,5477795
449,-45.7344289,166.6071734,2012811,5477698
450,-45.7346215,166.6085436,2012919,5477685
451,-45.7354566,166.6092877,2012984,5477597
452,-45.7361983,166.6098103,2013031,5477518
453,-45.7368214,166.6091605,2012986,5477445
454,-45.737668,166.6078154,2012889,5477343
455,-45.7379625,166.6070993,2012836,5477306
456,-45.7387936,166.606787,2012819,5477212
457,-45.7397411,166.6067839,2012827,5477107
458,-45.7404622,166.6080821,2012934,5477035
459,-45.7412164,166.6086678,2012986,5476955
501,-45.7308247,166.6064563,2012724,5478093
502,-45.7310842,166.6077288,2012825,5478072
503,-45.7309773,166.6090681,2012928,5478092
504,-45.7310139,166.6103913,2013031,5478096
505,-45.7307456,166.6117487,2013134,5478134
506,-45.7309767,166.6129985,2013233,5478116
507,-45.7310277,166.6142557,2013331,5478118
508,-45.7309705,166.6156796,2013441,5478133
509,-45.7305247,166.616928,2013534,5478190
510,-45.7305633,166.6182896,2013640,5478194
511,-45.7303086,166.6195681,2013737,5478230
512,-45.7292917,166.6197849,2013745,5478344
513,-45.7283653,166.6201721,2013767,5478449
514,-45.7276041,166.6207727,2013807,5478537
515,-45.7273488,166.6222057,2013916,5478574
516,-45.7270478,166.6234635,2014011,5478615
517,-45.7266743,166.6247165,2014105,5478664
518,-45.7265134,166.6260617,2014208,5478690
519,-45.72634,166.6273438,2014306,5478717
520,-45.7260479,166.6286006,2014401,5478757
521,-45.7264713,166.6297387,2014493,5478717
522,-45.7267154,166.6310644,2014598,5478698
523,-45.726836,166.6324426,2014706,5478693
524,-45.7273849,166.6335667,2014798,5478639
525,-45.727904,166.6346427,2014886,5478588
526,-45.7284142,166.6357197,2014974,5478538
527,-45.7284188,166.6371237,2015083,5478546
528,-45.7289553,166.6383524,2015183,5478494
529,-45.7285873,166.6397078,2015285,5478543
530,-45.7281341,166.6408278,2015368,5478600
531,-45.7279544,166.6421622,2015470,5478628
532,-45.7274786,166.6433621,2015559,5478688
533,-45.7275148,166.6446852,2015662,5478692
534,-45.7277773,166.6460218,2015768,5478671
535,-45.728665,166.6464126,2015806,5478575
536,-45.7295825,166.6460269,2015784,5478471
537,-45.7302987,166.6469135,2015859,5478397
538,-45.7312112,166.6472629,2015894,5478298
601,-45.7222994,166.5924144,2011560,5478952
602,-45.7218392,166.5935613,2011645,5479010
603,-45.7216298,166.5950021,2011755,5479042
604,-45.7215691,166.5961943,2011847,5479056
605,-45.7218122,166.5974941,2011950,5479037
606,-45.7224688,166.5984383,2012029,5478970
607,-45.7230615,166.5995314,2012119,5478911
608,-45.7231211,166.6009421,2012229,5478913
609,-45.7232262,166.6023605,2012340,5478910
610,-45.7230607,166.603616,2012436,5478936
611,-45.7229987,166.6049501,2012539,5478951
612,-45.7230327,166.6063894,2012651,5478956
613,-45.7225567,166.6077441,2012752,5479017
614,-45.7224699,166.6091196,2012858,5479035
615,-45.7225957,166.6105872,2012973,5479030
616,-45.7223507,166.6118773,2013071,5479065
617,-45.7219685,166.6132988,2013178,5479116
618,-45.7213723,166.6146024,2013274,5479190
619,-45.7216277,166.6159653,2013382,5479170
620,-45.721863,166.6172918,2013487,5479152
621,-45.7215952,166.6186618,2013591,5479190
622,-45.7213405,166.61994,2013688,5479226
623,-45.7208249,166.6212346,2013784,5479291
624,-45.7204268,166.6226964,2013894,5479344
625,-45.7201015,166.6238407,2013980,5479387
626,-45.7196774,166.6248287,2014053,5479440
627,-45.7187298,166.624664,2014032,5479544
628,-45.7178959,166.6242677,2013994,5479634
629,-45.7170026,166.6239424,2013961,5479731
630,-45.7161432,166.6235747,2013925,5479824
631,-45.7152747,166.623865,2013940,5479922
632,-45.7145787,166.6248317,2014009,5480005
633,-45.7138784,166.6257216,2014072,5480088
634,-45.7133268,166.6268524,2014155,5480156
635,-45.7123668,166.6274492,2014193,5480266
636,-45.7115042,166.6281768,2014242,5480366
637,-45.7106584,166.6283872,2014251,5480461
638,-45.7096966,166.628456,2014248,5480568
639,-45.7091034,166.6294883,2014323,5480640
640,-45.7082241,166.630076,2014361,5480741
641,-45.7073117,166.6298945,2014339,5480841
642,-45.7065064,166.6306799,2014393,5480935
643,-45.7058138,166.6317104,2014467,5481018
644,-45.7049599,166.632102,2014490,5481115
645,-45.7040154,166.631499,2014435,5481216
646,-45.7036665,166.6302371,2014334,5481247
647,-45.7030231,166.6292012,2014248,5481312
648,-45.702657,166.6279541,2014148,5481345
649,-45.7019225,166.6269027,2014060,5481420
701,-45.7076855,166.5804275,2010502,5480498
702,-45.7080933,166.5814379,2010584,5480459
703,-45.7081406,166.5827851,2010689,5480462
704,-45.7086168,166.5838909,2010779,5480416
705,-45.7092013,166.5849974,2010870,5480358
706,-45.7098472,166.5860712,2010959,5480293
707,-45.7096542,166.5873167,2011054,5480322
708,-45.7095932,166.5886633,2011158,5480337
709,-45.7097107,166.5899769,2011261,5480332
710,-45.7095722,166.5912291,2011357,5480355
711,-45.7093909,166.5925248,2011456,5480383
712,-45.7091946,166.5938737,2011559,5480413
713,-45.70863,166.5949289,2011636,5480482
714,-45.7081249,166.5960806,2011721,5480545
715,-45.7079091,166.5974058,2011822,5480577
716,-45.7075843,166.5987175,2011921,5480621
717,-45.7071856,166.5999989,2012017,5480673
718,-45.7069959,166.6013082,2012117,5480702
719,-45.7074122,166.6026399,2012224,5480664
720,-45.7072357,166.604025,2012330,5480692
721,-45.7069578,166.6053701,2012432,5480731
722,-45.7067378,166.6067859,2012540,5480764
723,-45.7063459,166.6080277,2012633,5480815
724,-45.7059442,166.6092578,2012725,5480867
725,-45.7062582,166.6105364,2012827,5480840
726,-45.7063826,166.611978,2012940,5480835
727,-45.7062681,166.6133433,2013045,5480856
728,-45.7054596,166.6142325,2013107,5480951
729,-45.7045867,166.6149355,2013154,5481052
730,-45.7037235,166.6156504,2013202,5481152
731,-45.7031078,166.6167626,2013283,5481227
732,-45.7036913,166.6178565,2013373,5481169
733,-45.7030685,166.6188407,2013444,5481244
734,-45.7021581,166.6193546,2013476,5481348
801,-45.7124757,166.6019946,2012218,5480099
802,-45.7116713,166.6027934,2012273,5480193
803,-45.7108433,166.6034917,2012320,5480289
804,-45.7099093,166.6037381,2012331,5480394
805,-45.7090987,166.6032751,2012288,5480481
806,-45.7082366,166.603681,2012312,5480579
901,-45.6960732,166.6165192,2013203,5482005
902,-45.6970301,166.6163606,2013199,5481898
903,-45.6977922,166.6172542,2013275,5481819
904,-45.6987841,166.6175683,2013308,5481711
905,-45.6994854,166.6185073,2013387,5481639
906,-45.7004168,166.6190342,2013436,5481539
907,-45.7013572,166.6189032,2013434,5481434
1001,-45.6937817,166.5604333,2008828,5481916
1002,-45.6942362,166.5616313,2008925,5481873
1003,-45.6941216,166.5629836,2009029,5481894
1004,-45.6945527,166.5642485,2009131,5481854
1005,-45.6948542,166.5656183,2009240,5481829
1006,-45.6948665,166.5669821,2009346,5481836
1007,-45.6948265,166.5683775,2009454,5481849
1008,-45.6944797,166.5696143,2009547,5481895
1009,-45.6941725,166.570911,2009645,5481937
1010,-45.6943821,166.5722525,2009751,5481922
1011,-45.6942867,166.5736284,2009857,5481941
1012,-45.6941002,166.5749887,2009961,5481970
1013,-45.6940586,166.5763585,2010067,5481983
1014,-45.6939611,166.577696,2010170,5482002
1015,-45.6942768,166.5789998,2010274,5481975
1016,-45.6941254,166.5803433,2010377,5482000
1017,-45.6935334,166.5813887,2010453,5482072
1018,-45.6935807,166.5827355,2010558,5482075
1019,-45.6933747,166.5840723,2010660,5482106
1020,-45.6933606,166.5854518,2010767,5482116
1021,-45.6934997,166.586827,2010875,5482109
1022,-45.6936836,166.5881972,2010983,5482097
1023,-45.6935501,166.5895387,2011086,5482120
1024,-45.6934269,166.5909047,2011191,5482142
1025,-45.6942097,166.5916796,2011258,5482060
1026,-45.6950432,166.59223,2011308,5481971
1027,-45.6957805,166.5913616,2011247,5481884
1028,-45.6963906,166.5903143,2011171,5481810
1029,-45.6972869,166.5897113,2011132,5481707
1030,-45.6974776,166.5910422,2011237,5481694
1031,-45.6974814,166.5924198,2011344,5481702
1032,-45.6981678,166.5934117,2011427,5481632
1033,-45.6988542,166.5944036,2011510,5481562
1034,-45.6991306,166.5958151,2011622,5481540
1035,-45.6989804,166.5971843,2011727,5481565
1036,-45.6986287,166.5984988,2011826,5481612
1037,-45.6980593,166.5996316,2011909,5481682
1038,-45.6974201,166.6006435,2011982,5481759
1039,-45.6965,166.6009785,2012000,5481863
1040,-45.6959188,166.6020611,2012079,5481934
1041,-45.6954717,166.6032831,2012170,5481991
1042,-45.6950612,166.6045139,2012262,5482044
1043,-45.6949191,166.6058692,2012366,5482068
1044,-45.6946405,166.6072011,2012467,5482107
1045,-45.6950248,166.6084459,2012567,5482072
1046,-45.6954533,166.6096729,2012666,5482032
1047,-45.695741,166.6109671,2012769,5482008
1048,-45.6957887,166.6123269,2012875,5482011
1049,-45.6956735,166.6136791,2012979,5482032
1050,-45.6957136,166.6150655,2013087,5482036
1101,-45.6958109,166.6178235,2013302,5482042
1102,-45.6958304,166.6193281,2013419,5482049
1103,-45.6956565,166.6207641,2013529,5482077
1104,-45.6957463,166.6222351,2013644,5482076
1105,-45.6952676,166.6232158,2013716,5482135
1106,-45.69425,166.6234197,2013723,5482249
1107,-45.6934511,166.6243202,2013786,5482343
1108,-45.6933586,166.62576,2013897,5482362
1109,-45.6936056,166.6271361,2014006,5482343
1110,-45.6933176,166.6284689,2014107,5482383
1111,-45.6927343,166.6296801,2014196,5482455
1112,-45.6918232,166.630181,2014227,5482559
1113,-45.6911104,166.6310074,2014285,5482643
1114,-45.6902777,166.6304693,2014236,5482732
1115,-45.6894905,166.6297717,2014175,5482815
1116,-45.6894926,166.6283293,2014063,5482806
1117,-45.6886543,166.6276889,2014006,5482895
